id,name,brand,street,place,lat,lng,city_search
828456d8-9842-4026-a34d-9525787dfe0b,Esso Tankstelle,ESSO,HAUS-HORL-STR. 52,ESSEN,51.491536,6.938657,Essen
4e474e0b-67a2-4b7d-868f-88c804c0537d,Aral Tankstelle,ARAL,Röntgenstraße,Mülheim,51.41748,6.895428,Essen
bf839d57-2cd1-1d5d-9418-0e73b4c50d5f,Tramin Tankcenter am Uhlenhorst,Tramin,Großenbaumer Str.,Mülheim,51.410392,6.855734,Essen
5e7b3e0a-638e-44e9-8d0b-b33f3e7c9aff,Aral Tankstelle,ARAL,Essener Straße,Mülheim,51.430687,6.923581,Essen
5553274c-b762-4602-87ca-4dba4f942138,Tankstelle Peters,Freie,Weidkamp,Essen,51.477933,6.946487,Essen
1318fba5-8b49-4080-a745-3b8be1f5cafc,Aral Tankstelle,ARAL,Grossenbaumer Straße,Mülheim,51.40951,6.853948,Oberhausen
005056ba-7cb6-1ed2-bceb-78e1f2f9ad26,star Tankstelle,STAR,Kaiser-Friedrich-Straße,Duisburg,51.508621,6.777658,Oberhausen
783d5ccc-ebc6-46d8-a962-be07b9183536,Shell Duisburg Buschstr.,Shell,Buschstr.,Duisburg,51.498521,6.763165,Oberhausen
b468a4fc-0e5a-49f8-a5a0-f5c919615725,Tankcenter Muelheim,Tankcenter,Zeppelinstr.,Muelheim,51.416775,6.905371,Essen
f29362be-cd78-4e8e-a424-6741c03acaff,OIL! Tankstelle Mülheim,OIL!,Zeppelinstraße 95,Mülheim,51.4158,6.90749,Essen
d121352f-a134-48db-8593-558922e24494,TotalEnergies Duisburg,TotalEnergies,Koloniestr.,Duisburg,51.419762,6.786564,Oberhausen
5fa8356d-8d70-46be-9b12-b3feb521d7eb,Calpam Tankstelle,Calpam,Koloniestr,Duisburg,51.419960021973,6.7853193283081,Oberhausen
c4709e5b-e76b-4792-8632-7d9d71ed8c9d,KHG Tankstelle Duisburg,,Koloniestr.,Duisburg,51.419376,6.786102,Oberhausen
c33dbd80-9f79-46a2-98a3-65a2c59fd0a5,FluS Handelsgesellschaft mbH,Freie Tankstelle,Dahlmannstrasse,Duisburg,51.502065,6.761169,Oberhausen
d93992ea-a933-4d48-ba74-d63ee8a18055,Aral Tankstelle,ARAL,Siegesstraße,Oberhausen,51.52115,6.787809,Oberhausen
4a58cd30-6303-4661-9852-e613960d2d4d,Access Duisburg Hamborn,Access,Kaiser-Friedrich-Str.,Duisburg Hamborn,51.505958,6.76359,Oberhausen
758813d3-4bbc-4bf2-b7be-ecc7c212c3d8,Shell Bottrop Im Fuhlenbrock 137,Shell,Im Fuhlenbrock,Bottrop,51.531166,6.891594,Essen
3d4386e8-05e5-406e-af32-820cce4ecf73,OIL! Tankstelle Duisburg,OIL!,Mercatorstraße 131-133,Duisburg,51.4267,6.76989,Oberhausen
61f78721-d695-4d16-b048-55faadf67e45,Q1 Tankstelle,Q1,Auf der Höhe,Duisburg,51.4418,6.75348,Oberhausen
e88898b1-2148-4935-970a-f2788031fbc1,OIL! tank &amp; go Automatentankstelle Duisburg,OIL! (Automatenstation),Mercatorstraße 158,Duisburg,51.4265,6.76889,Oberhausen
2d9c092e-c5f9-4fb4-9694-ab4e352cd307,Shell Bottrop Essener Str. 118-124,Shell,Essener Str.,Bottrop,51.511907,6.935049,Essen
51d4b5ae-a095-1aa0-e100-80009459e03a,JET MUELHEIM STRASSBURGER ALLEE 75,JET,STRASSBURGER ALLEE,MUELHEIM,51.40372,6.87346,Essen
2721b8df-9116-4d56-943c-677433506b0d,Aral Tankstelle,ARAL,Bahnstraße,Oberhausen,51.529583,6.797949,Oberhausen
639d715c-7e75-450f-b3ce-3ec1e81e5f70,Shell Oberhausen Kirchhellener Str. 140,Shell,Kirchhellener Str.,Oberhausen,51.537876,6.86395,Oberhausen
005056ba-7cb6-1ed2-bceb-7758df554d25,star Tankstelle,STAR,Düsseldorfer Straße,Duisburg,51.424758,6.765335,Oberhausen
e6731228-b5f4-4fa1-aa2e-9afc266ecada,Aral Tankstelle,ARAL,Friedrich-Ebert-Str.,Bottrop,51.519913,6.931138,Essen
005056ba-7cb6-1ed2-bceb-b14c32ab0d45,star Tankstelle,STAR,Humboldtring,Mülheim,51.43959,6.95448,Essen
51d4b60e-a095-1aa0-e100-80009459e03a,JET ESSEN BOCHOLDER STR. 187,JET,BOCHOLDER STR.,ESSEN,51.47325,6.96533,Essen
d12b6519-3e8d-4ee3-8405-526ec101d708,Shell Duisburg Musfeldstr. 55,Shell,Musfeldstr.,Duisburg,51.427665,6.759301,Oberhausen
d41fb463-9529-4f0c-9236-7f1d4731bb09,Aral Tankstelle,ARAL,Hafenstraße,Duisburg,51.45321,6.740333,Oberhausen
51d4b55b-a095-1aa0-e100-80009459e03a,JET MUELHEIM KOELNER STR. 54,JET,KOELNER STR.,MUELHEIM,51.39902,6.87566,Essen
51d4b43c-a095-1aa0-e100-80009459e03a,JET DUISBURG FRIEDRICH-EBERT-STR. 180,JET,FRIEDRICH-EBERT-STR.,DUISBURG,51.46926,6.73546,Oberhausen
005056ba-7cb6-1ed2-bceb-9d5672a1ed3c,star Tankstelle,STAR,Kölner Straße,Mülheim,51.397989,6.875842,Essen
85a803cc-60ad-4de4-b0e0-7c5b31a896a2,Shell Bottrop A2 Bottrop Sued,Shell,A2 Bottrop Sued,Bottrop,51.539923,6.885957,Oberhausen
51d4b4d0-a095-1aa0-e100-80009459e03a,JET BOTTROP HANS-SACHS-STR. 15-19,JET,HANS-SACHS-STR.,BOTTROP,51.5268,6.92688,Essen
1180607e-b498-454f-8f06-602829b81ffb,Q1 Tankstelle,Q1,Arnold-Overbeck-Straße,Duisburg,51.4835,6.734,Oberhausen
005056ba-7cb6-1ed2-bceb-7519b4d04d25,star Tankstelle,STAR,Schmachtendorfer Straße,Oberhausen,51.541306,6.818245,Oberhausen
57f5ba74-0cc6-c340-56ad-94925cdc813b,Tramin Tankcenter Saarn,Tramin,Kölner Str.,Mülheim,51.39618,6.8746,Essen
005056ba-7cb6-1ed2-bceb-963ae2604d38,star Tankstelle,STAR,Friedrich-Ebert-Straße,Duisburg,51.482415,6.732324,Oberhausen
e9994876-6876-4787-8de1-7e36c8b9a799,Aral Tankstelle,ARAL,Hans-Sachs-Straße,Bottrop,51.530323,6.924594,Essen
f96aeacf-97ff-47a6-b3f5-a91bff42408c,TotalEnergies Autohof Duisburg,TotalEnergies Autohof,Autohof -  Am Schluetershof,Duisburg,51.437949,6.738798,Oberhausen
b324d37d-7324-4a90-bda5-20bb54d44405,Karsten Höcker,Markant,Bottroper Str.,Essen,51.48465,6.97281,Essen
c7ff481f-7cb5-4413-be4b-bcf47fff29b1,Aral Tankstelle,ARAL,Berliner Straße,Essen,51.452454,6.972793,Essen
